-13100, -1500, -9400, -1400
-10000, -400, -9400, -150
-10000, -400, -9400, -350
-3500, 450, -2400, 450
-4000, 450, -3600, 550
-4150, 650, -3350, 3700
-4150, 650, -3350, 3700
-4000, 650, -3350, 700
-4150, 850, -3700, 3700
-4150, 850, -3700, 3700
-4150, 1050, -3700, 3700
-4150, 1750, -3700, 3700
-4150, 1950, -3700, 3700
-3900, -650, 650, -50
-4050, 150, -1950, 250
-3950, 250, -2700, 250
-3800, -150, -2850, -150
-3650, -650, 650, -250
-3200, -650, -1950, -650
-1650, -700, -700, -700
-4000, 450, -1950, 550
-4100, 650, -3400, 3700
-4100, 650, -3400, 3700
-4000, 650, -3400, 700
-4100, 850, -3650, 3700
-4100, 850, -3650, 3700
-4100, 1050, -3650, 3700
-4100, 1250, -3650, 3700
-4100, 1750, -3700, 3700
-4100, 1950, -3700, 3700
-4100, 2150, -3700, 3700
-4100, 2350, -3700, 3700
-4100, 2550, -3750, 3700
-4100, 2750, -3750, 3700
-4100, 2950, -3750, 3700
-2450, 400, -1950, 550
-2450, 400, -1950, 550
-2850, 950, 1050, 1000
-1650, 350, 1050, 900
-3300, 1450, -2300, 1450
100, -200, 4400, 50
100, 0, 4350, 50
